CityTown;Population;Latitude;Longitude
Chelyabinsk, 250-letiya Chelyabinska, 1;389;55.181416;61.318507
Chelyabinsk, 250-letiya Chelyabinska, 10;136;55.181971;61.306317
Chelyabinsk, 250-letiya Chelyabinska, 13;319;55.180182;61.304359
Chelyabinsk, 250-letiya Chelyabinska, 13a;33;55.179575;61.305392
Chelyabinsk, 250-letiya Chelyabinska, 14;84;55.180665;61.303389
Chelyabinsk, 250-letiya Chelyabinska, 15a;408;55.179066;61.301978
Chelyabinsk, 250-letiya Chelyabinska, 16;161;55.180341;61.301089
Chelyabinsk, 250-letiya Chelyabinska, 16a;69;55.180069;61.302113
Chelyabinsk, 250-letiya Chelyabinska, 17;494;55.178198;61.299885
Chelyabinsk, 250-letiya Chelyabinska, 1a;198;55.180984;61.318444
Chelyabinsk, 250-letiya Chelyabinska, 1b;1 057;55.181272;61.320187
Chelyabinsk, 250-letiya Chelyabinska, 20;105;55.179277;61.300289
Chelyabinsk, 250-letiya Chelyabinska, 20a;844;55.179961;61.29949
Chelyabinsk, 250-letiya Chelyabinska, 21;484;55.175781;61.294477
Chelyabinsk, 250-letiya Chelyabinska, 21a;176;55.175247;61.295672
Chelyabinsk, 250-letiya Chelyabinska, 22;65;55.178691;61.299014
Chelyabinsk, 250-letiya Chelyabinska, 23;386;55.175427;61.294127
Chelyabinsk, 250-letiya Chelyabinska, 23a;68;55.174907;61.294603
Chelyabinsk, 250-letiya Chelyabinska, 25;705;55.174753;61.292169
Chelyabinsk, 250-letiya Chelyabinska, 25a;106;55.17429;61.293112
Chelyabinsk, 250-letiya Chelyabinska, 28;486;55.176697;61.294432
Chelyabinsk, 250-letiya Chelyabinska, 28a;192;55.177792;61.293579
Chelyabinsk, 250-letiya Chelyabinska, 28b;65;55.176897;61.293723
Chelyabinsk, 250-letiya Chelyabinska, 30;66;55.176542;61.292797
Chelyabinsk, 250-letiya Chelyabinska, 32;205;55.175643;61.291998
Chelyabinsk, 250-letiya Chelyabinska, 34;328;55.175344;61.290597
Chelyabinsk, 250-letiya Chelyabinska, 42;37;55.171529;61.28491
Chelyabinsk, 250-letiya Chelyabinska, 5;381;55.181678;61.314096
Chelyabinsk, 250-letiya Chelyabinska, 5a;123;55.180871;61.314842
Chelyabinsk, 250-letiya Chelyabinska, 5v;57;55.18084;61.3138
Chelyabinsk, 250-letiya Chelyabinska, 67;41;55.165482;61.28615
Chelyabinsk, 250-letiya Chelyabinska, 71;172;55.164809;61.287578
Chelyabinsk, 250-letiya Chelyabinska, 73;189;55.16451;61.286168
Chelyabinsk, 250-letiya Chelyabinska, 75;189;55.161425;61.286195
Chelyabinsk, 250-letiya Chelyabinska, 75a;149;55.161311;61.287848
Chelyabinsk, 250-letiya Chelyabinska, 77;104;55.160545;61.286159
Chelyabinsk, 250-letiya Chelyabinska, 79;291;55.160164;61.286177
Chelyabinsk, 250-letiya Chelyabinska, 9;205;55.181668;61.308734
Chelyabinsk, 2 Stroygorodok, 3;46;55.149974;61.526306
Chelyabinsk, 2 Stroygorodok, 4;45;55.149522;61.526252
Chelyabinsk, 3 Internatsionala, 111;43;55.164042;61.421706
Chelyabinsk, 3 Internatsionala, 113a;31;55.162921;61.422469
Chelyabinsk, 3 Internatsionala, 117;33;55.163117;61.421858
Chelyabinsk, 3 Internatsionala, 128;249;55.160278;61.421176
Chelyabinsk, 3 Internatsionala, 128a;134;55.159753;61.420232
Chelyabinsk, 3 Internatsionala, 38;148;55.175242;61.419837
